epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1895.39,1.3924,1.10811,1.61375,0.71437,0.417,0.51745,0.21613,1.54057,1.21472,2.01313,0.000823466,0.000823466,0.000823466
43,1939.15,1.48767,1.2118,1.67145,0.576,0.5422,0.54955,0.22658,1.54196,1.16893,2.02419,0.000810725,0.000810725,0.000810725
44,1982.91,1.39661,1.11629,1.62796,0.53737,0.55406,0.52128,0.22209,1.54178,1.22491,1.99942,0.000797812,0.000797812,0.000797812
45,2026.38,1.34091,1.13283,1.59632,0.60493,0.50253,0.51338,0.22182,1.54672,1.15954,2.0225,0.000784738,0.000784738,0.000784738
46,2070.09,1.41168,1.13351,1.61685,0.56223,0.47092,0.50148,0.22011,1.52144,1.17523,1.98095,0.00077151,0.00077151,0.00077151
47,2113.5,1.40018,1.09487,1.60488,0.53967,0.53137,0.53274,0.23501,1.51541,1.1819,1.9852,0.000758138,0.000758138,0.000758138
48,2157.34,1.39689,1.14259,1.6281,0.61441,0.54787,0.55069,0.23434,1.55537,1.08486,2.01497,0.00074463,0.00074463,0.00074463
49,2201.22,1.38671,1.11253,1.62395,0.55939,0.57986,0.54476,0.22912,1.51429,1.1071,1.97937,0.000730997,0.000730997,0.000730997
50,2245.93,1.39343,1.0927,1.6213,0.52344,0.53313,0.52092,0.22698,1.48921,1.11151,1.95871,0.000717248,0.000717248,0.000717248
51,2289.72,1.36809,1.07949,1.59317,0.59497,0.52484,0.51927,0.22075,1.5935,1.14785,2.01205,0.000703391,0.000703391,0.000703391
52,2333.46,1.37597,1.11159,1.61347,0.59866,0.52995,0.57293,0.23501,1.51283,1.09257,1.98006,0.000689437,0.000689437,0.000689437
53,2377.28,1.38699,1.10103,1.60817,0.57895,0.5281,0.5334,0.22371,1.52064,1.12861,1.96717,0.000675395,0.000675395,0.000675395
54,2421.25,1.35808,1.07682,1.59821,0.5367,0.59713,0.55832,0.24909,1.48107,1.05202,1.93497,0.000661275,0.000661275,0.000661275
55,2464.48,1.36196,1.06568,1.59563,0.57929,0.5503,0.54249,0.23413,1.51123,1.0953,1.99,0.000647085,0.000647085,0.000647085
56,2508.06,1.3499,1.03297,1.57463,0.57498,0.58236,0.57628,0.24881,1.47202,1.05573,1.94905,0.000632837,0.000632837,0.000632837
57,2551.58,1.31932,1.03022,1.58148,0.65497,0.58195,0.59477,0.25093,1.45565,1.03506,1.93179,0.00061854,0.00061854,0.00061854
58,2595.53,1.3483,1.03021,1.5809,0.59141,0.56963,0.58008,0.2461,1.47409,1.05657,1.95398,0.000604203,0.000604203,0.000604203
59,2639.2,1.28844,1.01973,1.55493,0.56069,0.52806,0.49493,0.21111,1.54527,1.34174,1.99403,0.000589837,0.000589837,0.000589837
60,2683,1.26375,1.05686,1.5106,0.56432,0.5836,0.5541,0.24209,1.59667,1.05374,2.05662,0.000575451,0.000575451,0.000575451
61,2726.93,1.31157,1.03828,1.57966,0.57801,0.6027,0.56007,0.24567,1.50861,1.11659,1.96885,0.000561055,0.000561055,0.000561055
62,2770.37,1.25537,0.93804,1.51591,0.58501,0.59237,0.57326,0.24825,1.5352,1.04563,1.9825,0.000546659,0.000546659,0.000546659
63,2813.74,1.29812,0.95746,1.54199,0.60721,0.60701,0.57254,0.24406,1.48293,1.02179,1.93058,0.000532273,0.000532273,0.000532273
64,2857,1.27047,0.93768,1.5241,0.65058,0.55813,0.58446,0.2491,1.46359,0.95955,1.94227,0.000517907,0.000517907,0.000517907
65,2900.72,1.24182,0.96875,1.53141,0.61976,0.54269,0.56305,0.24419,1.4627,1.04803,1.9627,0.00050357,0.00050357,0.00050357
66,2944.67,1.33674,0.97812,1.54987,0.64886,0.60316,0.60894,0.25387,1.434,0.96369,1.90947,0.000489273,0.000489273,0.000489273
67,2988.18,1.27166,0.96219,1.50508,0.67922,0.58337,0.61567,0.26769,1.44206,0.94022,1.93531,0.000475025,0.000475025,0.000475025
68,3032.23,1.2112,0.92001,1.51661,0.65485,0.55086,0.57935,0.25021,1.50344,1.01068,2.00563,0.000460835,0.000460835,0.000460835
69,3075.79,1.30407,0.93328,1.51937,0.6487,0.53754,0.57295,0.24058,1.44228,0.99174,1.93726,0.000446715,0.000446715,0.000446715
70,3119.5,1.19778,0.94628,1.4692,0.57837,0.58392,0.57266,0.24306,1.45812,1.00941,1.95555,0.000432673,0.000432673,0.000432673
71,3163.26,1.26929,0.95156,1.51318,0.68269,0.58581,0.60228,0.2536,1.45209,0.93583,1.9502,0.000418719,0.000418719,0.000418719
72,3206.92,1.24663,0.89586,1.49423,0.5894,0.62369,0.58304,0.25333,1.47517,0.94897,1.96466,0.000404862,0.000404862,0.000404862
