epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,760.64,1.14469,0.74269,1.26419,0.70608,0.70154,0.68542,0.34639,1.41952,0.91504,1.64833,0.0005941,0.0005941,0.0005941
43,777.961,1.1547,0.70632,1.27086,0.69947,0.68932,0.65823,0.32916,1.46122,0.88396,1.75997,0.0005842,0.0005842,0.0005842
44,795.397,1.18121,0.77539,1.30144,0.71506,0.69292,0.67316,0.33991,1.44776,0.8953,1.68929,0.0005743,0.0005743,0.0005743
45,812.81,1.22823,0.79562,1.30542,0.75616,0.69884,0.68354,0.35306,1.39076,0.83008,1.67075,0.0005644,0.0005644,0.0005644
46,830.206,1.22175,0.78048,1.29584,0.6714,0.6507,0.63006,0.32758,1.40205,0.86663,1.65339,0.0005545,0.0005545,0.0005545
47,847.605,1.0859,0.71349,1.246,0.68618,0.66364,0.66018,0.34145,1.3767,0.8194,1.60658,0.0005446,0.0005446,0.0005446
48,865.004,1.22926,0.78803,1.30029,0.7815,0.66506,0.66694,0.33186,1.44078,0.88306,1.70095,0.0005347,0.0005347,0.0005347
49,882.542,1.13645,0.71118,1.27979,0.68738,0.69374,0.66701,0.33515,1.43061,0.87725,1.69692,0.0005248,0.0005248,0.0005248
50,899.946,1.16787,0.71482,1.29139,0.76322,0.72215,0.72712,0.35805,1.3931,0.78841,1.64764,0.0005149,0.0005149,0.0005149
51,917.442,1.12851,0.68967,1.26866,0.70712,0.68749,0.68425,0.34711,1.38038,0.83832,1.65835,0.000505,0.000505,0.000505
52,934.731,1.11478,0.78134,1.24723,0.73671,0.6896,0.67974,0.3572,1.3528,0.77644,1.6262,0.0004951,0.0004951,0.0004951
53,952.086,1.06666,0.67816,1.23714,0.71267,0.70916,0.66635,0.33543,1.41451,0.79914,1.71884,0.0004852,0.0004852,0.0004852
54,969.409,1.07026,0.6509,1.23751,0.70143,0.66873,0.64275,0.3244,1.41045,0.81902,1.70145,0.0004753,0.0004753,0.0004753
55,986.766,1.12085,0.81497,1.25456,0.71794,0.7054,0.67242,0.33998,1.42131,0.79481,1.70244,0.0004654,0.0004654,0.0004654
56,1004.17,1.08431,0.67097,1.22459,0.69343,0.67743,0.65918,0.34561,1.40241,0.79448,1.66367,0.0004555,0.0004555,0.0004555
57,1021.58,1.12032,0.66789,1.22869,0.67868,0.68389,0.65214,0.34072,1.41571,0.77309,1.72624,0.0004456,0.0004456,0.0004456
58,1038.96,1.10354,0.74268,1.27382,0.70368,0.69403,0.67474,0.34091,1.40363,0.79924,1.6618,0.0004357,0.0004357,0.0004357
59,1056.46,1.01187,0.62557,1.21379,0.68864,0.69555,0.65949,0.32613,1.4148,0.8039,1.73162,0.0004258,0.0004258,0.0004258
60,1073.96,1.09785,0.66522,1.26488,0.71517,0.72002,0.6916,0.3438,1.41664,0.80049,1.69408,0.0004159,0.0004159,0.0004159
61,1091.45,1.01459,0.62833,1.18095,0.72994,0.68348,0.65459,0.33873,1.41407,0.83432,1.69974,0.000406,0.000406,0.000406
62,1108.84,1.03031,0.65064,1.20449,0.76596,0.69422,0.68401,0.35698,1.33524,0.78804,1.64115,0.0003961,0.0003961,0.0003961
63,1126.29,0.97699,0.62345,1.19479,0.74962,0.68709,0.66641,0.32769,1.40637,0.77945,1.70488,0.0003862,0.0003862,0.0003862
64,1143.75,1.03252,0.62117,1.17374,0.73307,0.69914,0.64493,0.33436,1.4282,0.79467,1.74096,0.0003763,0.0003763,0.0003763
65,1161.38,1.00501,0.62716,1.19882,0.76574,0.67877,0.65885,0.34006,1.39363,0.8187,1.68757,0.0003664,0.0003664,0.0003664
66,1178.94,1.06598,0.6457,1.2263,0.72941,0.69935,0.68079,0.35304,1.37648,0.74805,1.68741,0.0003565,0.0003565,0.0003565
67,1196.42,1.07447,0.63215,1.23469,0.70004,0.70377,0.6568,0.33808,1.3993,0.74876,1.68248,0.0003466,0.0003466,0.0003466
68,1213.86,0.96757,0.59898,1.15618,0.72095,0.69487,0.65522,0.34407,1.3915,0.77582,1.68697,0.0003367,0.0003367,0.0003367
69,1231.22,0.95275,0.57373,1.15353,0.6975,0.71889,0.6795,0.35403,1.36739,0.78689,1.64828,0.0003268,0.0003268,0.0003268
70,1248.65,0.95846,0.58935,1.17597,0.74593,0.70242,0.68755,0.35513,1.39961,0.76709,1.66923,0.0003169,0.0003169,0.0003169
71,1266.2,1.06074,0.60542,1.23505,0.70529,0.68898,0.65753,0.33473,1.45492,0.74185,1.75126,0.000307,0.000307,0.000307
72,1283.51,0.93587,0.55815,1.15418,0.7479,0.68352,0.68177,0.34501,1.39592,0.7741,1.70301,0.0002971,0.0002971,0.0002971
73,1301.09,0.93139,0.55241,1.13732,0.7585,0.67666,0.66408,0.34068,1.4119,0.73743,1.70217,0.0002872,0.0002872,0.0002872
