epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,790.202,1.26736,0.89828,1.38238,0.82591,0.65415,0.73952,0.3613,1.35137,0.92748,1.66511,0.00111179,0.00111179,0.00111179
43,807.142,1.32644,0.98071,1.45432,0.72028,0.63603,0.69128,0.32716,1.40487,1.0137,1.71346,0.00109459,0.00109459,0.00109459
44,825.339,1.25932,0.96084,1.42204,0.70763,0.68461,0.70546,0.32021,1.40046,0.91835,1.68614,0.00107715,0.00107715,0.00107715
45,843.278,1.22706,0.85714,1.396,0.78145,0.7314,0.7601,0.36569,1.35119,0.89112,1.65509,0.0010595,0.0010595,0.0010595
46,861.649,1.21113,0.88977,1.38375,0.86245,0.63372,0.74368,0.35876,1.43855,0.95438,1.735,0.00104164,0.00104164,0.00104164
47,879.87,1.17648,0.85427,1.35161,0.6956,0.73227,0.7406,0.34558,1.29832,0.9344,1.61049,0.00102359,0.00102359,0.00102359
48,898.348,1.21752,0.87186,1.35222,0.73941,0.67573,0.69554,0.32301,1.34818,0.96172,1.69115,0.00100535,0.00100535,0.00100535
49,916.743,1.23306,0.84563,1.377,0.79785,0.6653,0.72281,0.35112,1.36232,0.84615,1.66657,0.000986945,0.000986945,0.000986945
50,934.946,1.20252,0.92443,1.35326,0.74745,0.72286,0.74715,0.37335,1.27076,0.89443,1.57392,0.000968381,0.000968381,0.000968381
51,953.254,1.22824,0.8522,1.38161,0.70975,0.683,0.72077,0.34704,1.43715,0.89836,1.75723,0.000949673,0.000949673,0.000949673
52,971.584,1.2301,0.87038,1.37948,0.76555,0.71039,0.75242,0.36584,1.30523,0.83887,1.60331,0.000930833,0.000930833,0.000930833
53,989.937,1.16467,0.84611,1.35114,0.74643,0.71979,0.73317,0.35119,1.30785,0.93557,1.62176,0.000911874,0.000911874,0.000911874
54,1008.25,1.253,0.88628,1.38562,0.7587,0.73718,0.75495,0.37209,1.27458,0.84929,1.59294,0.00089281,0.00089281,0.00089281
55,1026.51,1.19135,0.87191,1.38092,0.76198,0.71024,0.75717,0.35552,1.33578,0.80999,1.65665,0.000873653,0.000873653,0.000873653
56,1044.88,1.15383,0.87136,1.34406,0.71672,0.70444,0.715,0.34358,1.35918,0.85781,1.65526,0.000854416,0.000854416,0.000854416
57,1063.23,1.16092,0.84867,1.30986,0.85239,0.66969,0.75869,0.37332,1.29298,0.8002,1.60321,0.000835112,0.000835112,0.000835112
58,1081.46,1.09993,0.78937,1.30857,0.77214,0.7142,0.74847,0.35431,1.32772,0.78602,1.64126,0.000815756,0.000815756,0.000815756
59,1099.95,1.14577,0.78054,1.31267,0.90084,0.67729,0.77454,0.38058,1.31053,0.76084,1.63645,0.000796359,0.000796359,0.000796359
60,1118.24,1.08266,0.73721,1.29882,0.84462,0.69333,0.75015,0.37868,1.27367,0.81446,1.60288,0.000776936,0.000776936,0.000776936
61,1136.67,1.14002,0.80348,1.35236,0.80848,0.69608,0.75331,0.37192,1.30805,0.79426,1.6161,0.0007575,0.0007575,0.0007575
62,1155.36,1.15124,0.79174,1.31584,0.75358,0.65602,0.71676,0.35572,1.34444,0.9306,1.63989,0.000738064,0.000738064,0.000738064
